year,month,day,hour,minute,second,temperature
2023,11,8,9,23,36.00,22.00
2023,11,8,9,23,38.00,22.00
2023,11,8,9,23,40.00,22.00
2023,11,8,9,23,43.00,22.00
2023,11,8,9,23,45.00,22.00
2023,11,8,9,23,47.00,22.00
2023,11,8,9,23,49.00,22.00
2023,11,8,9,23,52.00,22.00
2023,11,8,9,23,54.00,22.00
2023,11,8,9,23,56.00,22.00
2023,11,8,9,23,59.00,22.00
2023,11,8,9,24,1.00,22.00
2023,11,8,9,24,3.00,22.00
2023,11,8,9,24,5.00,22.00
2023,11,8,9,24,8.00,22.00
2023,11,8,9,24,10.00,22.00
2023,11,8,9,24,12.00,22.00
2023,11,8,9,24,14.00,22.00
2023,11,8,9,24,17.00,22.00
2023,11,8,9,24,19.00,22.00
2023,11,8,9,24,21.00,22.00
2023,11,8,9,24,23.00,22.00
2023,11,8,9,24,26.00,22.00
2023,11,8,9,24,28.00,22.00
2023,11,8,9,24,30.00,22.00
2023,11,8,9,24,33.00,22.00
2023,11,8,9,24,35.00,22.00
2023,11,8,9,24,37.00,22.00
2023,11,8,9,24,39.00,22.00
2023,11,8,9,24,42.00,22.00
2023,11,8,9,24,44.00,22.00
2023,11,8,9,24,46.00,22.00
2023,11,8,9,24,48.00,22.00
2023,11,8,9,24,51.00,22.00
2023,11,8,9,24,53.00,22.00
2023,11,8,9,24,55.00,22.00
2023,11,8,9,24,57.00,22.00
2023,11,8,9,25,0.00,22.00
2023,11,8,9,25,2.00,22.00
2023,11,8,9,25,4.00,22.00
2023,11,8,9,25,7.00,22.00
2023,11,8,9,25,9.00,22.00
2023,11,8,9,25,11.00,22.00
2023,11,8,9,25,13.00,22.00
2023,11,8,9,25,16.00,22.00
2023,11,8,9,25,18.00,22.00
2023,11,8,9,25,20.00,22.00
2023,11,8,9,25,22.00,22.00
2023,11,8,9,25,25.00,22.00
2023,11,8,9,25,27.00,22.00
2023,11,8,9,25,29.00,22.00
2023,11,8,9,25,31.00,22.00
2023,11,8,9,25,34.00,22.00
2023,11,8,9,25,36.00,22.00
2023,11,8,9,25,38.00,22.00
2023,11,8,9,25,40.00,22.00
2023,11,8,9,25,43.00,22.00
2023,11,8,9,25,45.00,22.00
2023,11,8,9,25,47.00,22.00
2023,11,8,9,25,50.00,22.00
2023,11,8,9,25,52.00,22.00
2023,11,8,9,25,54.00,22.00
2023,11,8,9,25,56.00,22.00
2023,11,8,9,25,59.00,22.00
2023,11,8,9,26,1.00,22.00
2023,11,8,9,26,3.00,22.00
2023,11,8,9,26,5.00,22.00
2023,11,8,9,26,8.00,22.00
2023,11,8,9,26,10.00,22.00
2023,11,8,9,26,12.00,22.00
2023,11,8,9,26,14.00,22.00
2023,11,8,9,26,17.00,22.00
2023,11,8,9,26,19.00,22.00
2023,11,8,9,26,21.00,22.00
2023,11,8,9,26,24.00,22.00
2023,11,8,9,26,26.00,22.00
2023,11,8,9,26,28.00,22.00
2023,11,8,9,26,30.00,22.00
2023,11,8,9,26,33.00,22.00
2023,11,8,9,26,35.00,22.00
2023,11,8,9,26,37.00,22.00
2023,11,8,9,26,39.00,22.00
2023,11,8,9,26,42.00,22.00
2023,11,8,9,26,44.00,22.00
2023,11,8,9,26,46.00,22.00
2023,11,8,9,26,48.00,22.00
2023,11,8,9,26,51.00,22.00
2023,11,8,9,26,53.00,22.00
2023,11,8,9,26,55.00,22.00
2023,11,8,9,26,58.00,22.00
2023,11,8,9,27,0.00,22.00
2023,11,8,9,27,2.00,22.00
2023,11,8,9,27,4.00,22.00
2023,11,8,9,27,7.00,22.00
2023,11,8,9,27,9.00,22.00
2023,11,8,9,27,11.00,22.00
2023,11,8,9,27,13.00,22.00
2023,11,8,9,27,16.00,22.00
2023,11,8,9,27,18.00,22.00
2023,11,8,9,27,20.00,22.00
2023,11,8,9,27,22.00,22.00
2023,11,8,9,27,25.00,22.00
2023,11,8,9,27,27.00,22.00
2023,11,8,9,27,29.00,22.00
2023,11,8,9,27,32.00,22.00
2023,11,8,9,27,34.00,22.00
2023,11,8,9,27,36.00,22.00
2023,11,8,9,27,38.00,22.00
2023,11,8,9,27,41.00,22.00
2023,11,8,9,27,43.00,22.00
2023,11,8,9,27,45.00,22.00
2023,11,8,9,27,47.00,22.00
2023,11,8,9,27,50.00,22.00
2023,11,8,9,27,52.00,22.00
2023,11,8,9,27,54.00,22.00
2023,11,8,9,27,56.00,22.00
2023,11,8,9,27,59.00,22.00
2023,11,8,9,28,1.00,22.00
2023,11,8,9,28,3.00,22.00
2023,11,8,9,28,5.00,22.00
2023,11,8,9,28,8.00,22.00
2023,11,8,9,28,10.00,22.00
2023,11,8,9,28,12.00,22.00
2023,11,8,9,28,15.00,22.00
2023,11,8,9,28,17.00,22.00
2023,11,8,9,28,19.00,22.00
2023,11,8,9,28,21.00,22.00
2023,11,8,9,28,24.00,22.00
2023,11,8,9,28,26.00,22.00
2023,11,8,9,28,28.00,22.00
2023,11,8,9,28,30.00,22.00
2023,11,8,9,28,33.00,22.00
2023,11,8,9,28,35.00,22.00
2023,11,8,9,28,37.00,22.00
2023,11,8,9,28,39.00,22.00
2023,11,8,9,28,42.00,22.00
2023,11,8,9,28,44.00,22.00
2023,11,8,9,28,46.00,22.00
2023,11,8,9,28,49.00,22.00
2023,11,8,9,28,51.00,22.00
2023,11,8,9,28,53.00,22.00
2023,11,8,9,28,55.00,22.00
2023,11,8,9,28,58.00,22.00
2023,11,8,9,29,0.00,22.00
2023,11,8,9,29,2.00,22.00
2023,11,8,9,29,4.00,22.00
2023,11,8,9,29,7.00,22.00
2023,11,8,9,29,9.00,22.00
2023,11,8,9,29,11.00,22.00
2023,11,8,9,29,13.00,22.00
2023,11,8,9,29,16.00,22.00
2023,11,8,9,29,18.00,22.00
2023,11,8,9,29,20.00,22.00
2023,11,8,9,29,23.00,22.00
2023,11,8,9,29,25.00,22.00
2023,11,8,9,29,27.00,22.00
2023,11,8,9,29,29.00,22.00
2023,11,8,9,29,32.00,22.00
2023,11,8,9,29,34.00,22.00
2023,11,8,9,29,36.00,22.00
2023,11,8,9,29,38.00,22.00
2023,11,8,9,29,41.00,22.00
2023,11,8,9,29,43.00,22.00
2023,11,8,9,29,45.00,22.00
2023,11,8,9,29,47.00,22.00
2023,11,8,9,29,50.00,22.00
2023,11,8,9,29,52.00,22.00
2023,11,8,9,29,54.00,22.00
2023,11,8,9,29,57.00,22.00
2023,11,8,9,29,59.00,22.00
2023,11,8,9,30,1.00,22.00
2023,11,8,9,30,3.00,22.00
2023,11,8,9,30,6.00,22.00
2023,11,8,9,30,8.00,22.00
2023,11,8,9,30,10.00,22.00
2023,11,8,9,30,12.00,22.00
2023,11,8,9,30,15.00,22.00
2023,11,8,9,30,17.00,22.00
2023,11,8,9,30,19.00,22.00
2023,11,8,9,30,21.00,22.00
2023,11,8,9,30,24.00,22.00
2023,11,8,9,30,26.00,22.00
2023,11,8,9,30,28.00,22.00
2023,11,8,9,30,31.00,22.00
2023,11,8,9,30,33.00,22.00
2023,11,8,9,30,35.00,22.00
2023,11,8,9,30,37.00,22.00
2023,11,8,9,30,40.00,22.00
2023,11,8,9,30,42.00,22.00
2023,11,8,9,30,44.00,22.00
2023,11,8,9,30,46.00,22.00
2023,11,8,9,30,49.00,22.00
2023,11,8,9,30,51.00,22.00
2023,11,8,9,30,53.00,22.00
2023,11,8,9,30,55.00,22.00
2023,11,8,9,30,58.00,22.00
2023,11,8,9,31,0.00,22.00
2023,11,8,9,31,2.00,22.00
2023,11,8,9,31,4.00,22.00
2023,11,8,9,31,7.00,22.00
2023,11,8,9,31,9.00,22.00
2023,11,8,9,31,11.00,22.00
2023,11,8,9,31,14.00,22.00
2023,11,8,9,31,16.00,23.00
2023,11,8,9,31,18.00,22.00
2023,11,8,9,31,20.00,22.00
2023,11,8,9,31,23.00,22.00
2023,11,8,9,31,25.00,22.00
2023,11,8,9,31,27.00,22.00
2023,11,8,9,31,29.00,22.00
2023,11,8,9,31,32.00,22.00
2023,11,8,9,31,34.00,22.00
2023,11,8,9,31,36.00,22.00
2023,11,8,9,32,0.00,22.00
2023,11,8,9,32,3.00,22.00
2023,11,8,9,32,5.00,22.00
2023,11,8,9,32,7.00,22.00
2023,11,8,9,32,9.00,22.00
2023,11,8,9,32,12.00,22.00
2023,11,8,9,32,14.00,22.00
2023,11,8,9,32,16.00,22.00
2023,11,8,9,32,19.00,22.00
2023,11,8,9,32,21.00,22.00
2023,11,8,9,32,23.00,22.00
2023,11,8,9,32,25.00,22.00
2023,11,8,9,32,28.00,22.00
2023,11,8,9,32,30.00,22.00
2023,11,8,9,32,32.00,22.00
2023,11,8,9,32,34.00,22.00
2023,11,8,9,32,37.00,22.00
2023,11,8,9,32,39.00,22.00
2023,11,8,9,32,41.00,22.00
2023,11,8,9,32,44.00,22.00
2023,11,8,9,32,46.00,22.00
2023,11,8,9,32,48.00,22.00
2023,11,8,9,32,50.00,22.00
2023,11,8,9,32,53.00,22.00
2023,11,8,9,32,55.00,22.00
2023,11,8,9,32,57.00,22.00
2023,11,8,9,32,59.00,22.00
2023,11,8,9,33,2.00,22.00
2023,11,8,9,33,4.00,22.00
2023,11,8,9,33,6.00,23.00
2023,11,8,9,33,8.00,22.00
2023,11,8,9,33,11.00,22.00
2023,11,8,9,33,13.00,22.00
2023,11,8,9,33,15.00,22.00
2023,11,8,9,33,17.00,22.00
2023,11,8,9,33,20.00,22.00
2023,11,8,9,33,22.00,22.00
2023,11,8,9,33,24.00,22.00
2023,11,8,9,33,27.00,22.00
2023,11,8,9,33,29.00,23.00
2023,11,8,9,33,31.00,22.00
2023,11,8,9,33,33.00,22.00
2023,11,8,9,33,36.00,23.00
2023,11,8,9,33,38.00,23.00
2023,11,8,9,33,40.00,22.00
2023,11,8,9,33,42.00,22.00
2023,11,8,9,33,45.00,22.00
2023,11,8,9,33,47.00,22.00
2023,11,8,9,33,49.00,23.00
2023,11,8,9,33,51.00,22.00
2023,11,8,9,33,54.00,23.00
2023,11,8,9,33,56.00,22.00
2023,11,8,9,33,58.00,23.00
2023,11,8,9,34,1.00,22.00
2023,11,8,9,34,3.00,22.00
2023,11,8,9,34,5.00,22.00
2023,11,8,9,34,7.00,22.00
2023,11,8,9,34,10.00,22.00
2023,11,8,9,34,12.00,22.00
2023,11,8,9,34,14.00,23.00
2023,11,8,9,34,16.00,22.00
2023,11,8,9,34,19.00,22.00
2023,11,8,9,34,21.00,22.00
2023,11,8,9,34,23.00,22.00
2023,11,8,9,34,26.00,22.00
2023,11,8,9,34,28.00,22.00
2023,11,8,9,34,30.00,22.00
2023,11,8,9,34,32.00,22.00
2023,11,8,9,34,35.00,23.00
2023,11,8,9,34,37.00,23.00
2023,11,8,9,34,39.00,22.00
2023,11,8,9,34,41.00,22.00
2023,11,8,9,34,44.00,22.00
2023,11,8,9,34,46.00,23.00
2023,11,8,9,34,48.00,22.00
2023,11,8,9,34,50.00,22.00
2023,11,8,9,34,53.00,22.00
2023,11,8,9,34,55.00,23.00
2023,11,8,9,34,57.00,23.00
2023,11,8,9,35,0.00,22.00
2023,11,8,9,35,2.00,23.00
2023,11,8,9,35,4.00,23.00
2023,11,8,9,35,6.00,23.00
2023,11,8,9,35,9.00,22.00
2023,11,8,9,35,11.00,22.00
2023,11,8,9,35,13.00,22.00
2023,11,8,9,35,15.00,23.00
2023,11,8,9,35,18.00,23.00
2023,11,8,9,35,20.00,22.00
2023,11,8,9,35,22.00,23.00
2023,11,8,9,35,25.00,23.00
2023,11,8,9,35,27.00,23.00
2023,11,8,9,35,29.00,22.00
2023,11,8,9,35,31.00,23.00
2023,11,8,9,35,34.00,22.00
2023,11,8,9,35,36.00,22.00
2023,11,8,9,35,38.00,22.00
2023,11,8,9,35,40.00,22.00
2023,11,8,9,35,43.00,22.00
2023,11,8,9,35,45.00,23.00
2023,11,8,9,35,47.00,23.00
2023,11,8,9,35,49.00,22.00
2023,11,8,9,35,52.00,22.00
2023,11,8,9,35,54.00,22.00
2023,11,8,9,35,56.00,23.00
2023,11,8,9,35,59.00,22.00
2023,11,8,9,36,1.00,23.00
2023,11,8,9,36,3.00,22.00
2023,11,8,9,36,5.00,22.00
2023,11,8,9,36,8.00,23.00
2023,11,8,9,36,10.00,23.00
2023,11,8,9,36,12.00,22.00
2023,11,8,9,36,14.00,22.00
2023,11,8,9,36,17.00,22.00
2023,11,8,9,36,19.00,23.00
2023,11,8,9,36,21.00,23.00
2023,11,8,9,36,23.00,22.00
2023,11,8,9,36,26.00,23.00
2023,11,8,9,36,28.00,22.00
2023,11,8,9,36,30.00,23.00
2023,11,8,9,36,33.00,23.00
2023,11,8,9,36,35.00,23.00
2023,11,8,9,36,37.00,22.00
2023,11,8,9,36,39.00,22.00
2023,11,8,9,36,42.00,22.00
2023,11,8,9,36,44.00,22.00
2023,11,8,9,36,46.00,23.00
2023,11,8,9,36,48.00,23.00
2023,11,8,9,36,51.00,22.00
2023,11,8,9,36,53.00,22.00
2023,11,8,9,36,55.00,22.00
2023,11,8,9,36,58.00,23.00
2023,11,8,9,37,0.00,22.00
2023,11,8,9,37,2.00,23.00
2023,11,8,9,37,4.00,23.00
2023,11,8,9,37,7.00,23.00
2023,11,8,9,37,9.00,23.00
2023,11,8,9,37,11.00,23.00
2023,11,8,9,37,13.00,23.00
2023,11,8,9,37,16.00,23.00
2023,11,8,9,37,18.00,23.00
2023,11,8,9,37,20.00,22.00
2023,11,8,9,37,22.00,23.00
2023,11,8,9,37,25.00,23.00
2023,11,8,9,37,27.00,22.00
2023,11,8,9,37,29.00,23.00
2023,11,8,9,37,32.00,23.00
2023,11,8,9,37,34.00,23.00
2023,11,8,9,37,36.00,23.00
2023,11,8,9,37,38.00,22.00
2023,11,8,9,37,41.00,22.00
2023,11,8,9,37,43.00,22.00
2023,11,8,9,37,45.00,23.00
2023,11,8,9,37,47.00,23.00
2023,11,8,9,37,50.00,23.00
2023,11,8,9,37,52.00,22.00
2023,11,8,9,37,54.00,23.00
2023,11,8,9,37,57.00,23.00
2023,11,8,9,37,59.00,22.00
2023,11,8,9,38,1.00,22.00
2023,11,8,9,38,3.00,22.00
2023,11,8,9,38,6.00,23.00
2023,11,8,9,38,8.00,22.00
2023,11,8,9,38,10.00,23.00
2023,11,8,9,38,12.00,23.00
2023,11,8,9,38,15.00,23.00
2023,11,8,9,38,17.00,23.00
2023,11,8,9,38,19.00,23.00
2023,11,8,9,38,21.00,23.00
2023,11,8,9,38,24.00,23.00
2023,11,8,9,38,26.00,23.00
2023,11,8,9,38,28.00,23.00
2023,11,8,9,38,31.00,23.00
2023,11,8,9,38,33.00,23.00
2023,11,8,9,38,35.00,23.00
2023,11,8,9,38,37.00,23.00
2023,11,8,9,38,40.00,23.00
2023,11,8,9,38,42.00,22.00
2023,11,8,9,38,44.00,23.00
2023,11,8,9,38,46.00,23.00
2023,11,8,9,38,49.00,23.00
2023,11,8,9,38,51.00,23.00
2023,11,8,9,38,53.00,23.00
2023,11,8,9,38,56.00,23.00
2023,11,8,9,38,58.00,23.00
2023,11,8,9,39,0.00,23.00
2023,11,8,9,39,2.00,23.00
2023,11,8,9,39,5.00,23.00
2023,11,8,9,39,7.00,23.00
2023,11,8,9,39,9.00,23.00
2023,11,8,9,39,11.00,23.00
2023,11,8,9,39,14.00,23.00
2023,11,8,9,39,16.00,23.00
2023,11,8,9,39,18.00,23.00
2023,11,8,9,39,20.00,23.00
2023,11,8,9,39,23.00,23.00
2023,11,8,9,39,25.00,23.00
2023,11,8,9,39,27.00,23.00
2023,11,8,9,39,30.00,23.00
2023,11,8,9,39,32.00,23.00
2023,11,8,9,39,34.00,23.00
2023,11,8,9,39,36.00,23.00
2023,11,8,9,39,39.00,23.00
2023,11,8,9,39,41.00,23.00
2023,11,8,9,39,43.00,23.00
2023,11,8,9,39,45.00,23.00
2023,11,8,9,39,48.00,23.00
2023,11,8,9,39,50.00,23.00
2023,11,8,9,39,52.00,23.00
2023,11,8,9,39,55.00,23.00
2023,11,8,9,39,57.00,23.00
2023,11,8,9,39,59.00,23.00
2023,11,8,9,40,1.00,23.00
2023,11,8,9,40,4.00,23.00
2023,11,8,9,40,6.00,23.00
2023,11,8,9,40,8.00,23.00
2023,11,8,9,40,10.00,23.00
2023,11,8,9,40,13.00,23.00
2023,11,8,9,40,15.00,23.00
2023,11,8,9,40,17.00,23.00
2023,11,8,9,40,20.00,23.00
2023,11,8,9,40,22.00,23.00
2023,11,8,9,40,24.00,23.00
2023,11,8,9,40,26.00,23.00
2023,11,8,9,40,29.00,23.00
2023,11,8,9,40,31.00,23.00
2023,11,8,9,40,33.00,23.00
2023,11,8,9,40,35.00,23.00
2023,11,8,9,40,38.00,23.00
2023,11,8,9,40,40.00,23.00
2023,11,8,9,40,42.00,23.00
2023,11,8,9,40,44.00,23.00
2023,11,8,9,40,47.00,23.00
2023,11,8,9,40,49.00,23.00
2023,11,8,9,40,51.00,23.00
2023,11,8,9,40,54.00,22.00
2023,11,8,9,40,56.00,23.00
2023,11,8,9,40,58.00,23.00
2023,11,8,9,41,0.00,23.00
2023,11,8,9,41,3.00,23.00
2023,11,8,9,41,5.00,23.00
2023,11,8,9,41,7.00,23.00
2023,11,8,9,41,9.00,23.00
2023,11,8,9,41,12.00,23.00
2023,11,8,9,41,14.00,23.00
2023,11,8,9,41,16.00,23.00
2023,11,8,9,41,19.00,23.00
2023,11,8,9,41,21.00,23.00
2023,11,8,9,41,23.00,23.00
2023,11,8,9,41,25.00,23.00
2023,11,8,9,41,28.00,23.00
2023,11,8,9,41,30.00,23.00
2023,11,8,9,41,32.00,23.00
2023,11,8,9,41,34.00,22.00
2023,11,8,9,41,37.00,23.00
2023,11,8,9,41,39.00,23.00
2023,11,8,9,41,41.00,23.00
2023,11,8,9,41,43.00,23.00
2023,11,8,9,41,46.00,23.00
2023,11,8,9,41,48.00,22.00
2023,11,8,9,41,50.00,23.00
2023,11,8,9,41,53.00,23.00
2023,11,8,9,41,55.00,23.00
2023,11,8,9,41,57.00,23.00
2023,11,8,9,41,59.00,23.00
2023,11,8,9,42,2.00,23.00
2023,11,8,9,42,4.00,23.00
2023,11,8,9,42,6.00,23.00
2023,11,8,9,42,8.00,23.00
2023,11,8,9,42,11.00,23.00
2023,11,8,9,42,13.00,23.00
2023,11,8,9,42,15.00,22.00
2023,11,8,9,42,18.00,23.00
2023,11,8,9,42,20.00,23.00
2023,11,8,9,42,22.00,23.00
2023,11,8,9,42,24.00,23.00
2023,11,8,9,42,27.00,23.00
2023,11,8,9,42,29.00,22.00
2023,11,8,9,42,31.00,23.00
2023,11,8,9,42,33.00,23.00
2023,11,8,9,42,36.00,23.00
2023,11,8,9,42,38.00,23.00
2023,11,8,9,42,40.00,23.00
2023,11,8,9,42,43.00,23.00
2023,11,8,9,42,45.00,22.00
2023,11,8,9,42,47.00,23.00
2023,11,8,9,42,49.00,22.00
2023,11,8,9,42,52.00,22.00
2023,11,8,9,42,54.00,23.00
2023,11,8,9,42,56.00,23.00
2023,11,8,9,42,58.00,23.00
2023,11,8,9,43,1.00,22.00
2023,11,8,9,43,3.00,23.00
2023,11,8,9,43,5.00,22.00
2023,11,8,9,43,7.00,23.00
2023,11,8,9,43,10.00,23.00
2023,11,8,9,43,12.00,23.00
2023,11,8,9,43,14.00,23.00
2023,11,8,9,43,17.00,22.00
2023,11,8,9,43,19.00,22.00
2023,11,8,9,43,21.00,23.00
2023,11,8,9,43,23.00,22.00
2023,11,8,9,43,26.00,23.00
2023,11,8,9,43,28.00,23.00
2023,11,8,9,43,30.00,23.00
2023,11,8,9,43,32.00,22.00
2023,11,8,9,43,35.00,23.00
2023,11,8,9,43,37.00,23.00
2023,11,8,9,43,39.00,23.00
2023,11,8,9,43,41.00,23.00
2023,11,8,9,43,44.00,23.00
2023,11,8,9,43,46.00,22.00
2023,11,8,9,43,48.00,23.00
2023,11,8,9,43,51.00,23.00
2023,11,8,9,43,53.00,22.00
2023,11,8,9,43,55.00,23.00
2023,11,8,9,43,57.00,23.00
2023,11,8,9,44,0.00,22.00
2023,11,8,9,44,2.00,23.00
2023,11,8,9,44,4.00,22.00
2023,11,8,9,44,7.00,23.00
2023,11,8,9,44,9.00,23.00
2023,11,8,9,44,11.00,23.00
2023,11,8,9,44,13.00,23.00
2023,11,8,9,44,16.00,23.00
2023,11,8,9,44,18.00,23.00
2023,11,8,9,44,20.00,22.00
2023,11,8,9,44,22.00,23.00
2023,11,8,9,44,25.00,23.00
2023,11,8,9,44,27.00,23.00
2023,11,8,9,44,29.00,23.00
2023,11,8,9,44,31.00,23.00
2023,11,8,9,44,34.00,22.00
2023,11,8,9,44,36.00,23.00
2023,11,8,9,44,38.00,22.00
2023,11,8,9,44,41.00,23.00
2023,11,8,9,44,43.00,23.00
2023,11,8,9,44,45.00,23.00
2023,11,8,9,44,47.00,23.00
2023,11,8,9,44,50.00,22.00
2023,11,8,9,44,52.00,23.00
2023,11,8,9,44,54.00,23.00
2023,11,8,9,44,56.00,23.00
2023,11,8,9,44,59.00,22.00
2023,11,8,9,45,1.00,23.00
2023,11,8,9,45,3.00,23.00
2023,11,8,9,45,6.00,23.00
2023,11,8,9,45,8.00,23.00
2023,11,8,9,45,10.00,23.00
2023,11,8,9,45,12.00,23.00
2023,11,8,9,45,15.00,23.00
2023,11,8,9,45,17.00,23.00
2023,11,8,9,45,19.00,23.00
2023,11,8,9,45,21.00,22.00
2023,11,8,9,45,24.00,22.00
2023,11,8,9,45,26.00,23.00
2023,11,8,9,45,28.00,23.00
2023,11,8,9,45,31.00,23.00
2023,11,8,9,45,33.00,23.00
2023,11,8,9,45,35.00,23.00
2023,11,8,9,45,37.00,23.00
2023,11,8,9,45,40.00,23.00
2023,11,8,9,45,42.00,22.00
2023,11,8,9,45,44.00,23.00
2023,11,8,9,45,46.00,23.00
2023,11,8,9,45,49.00,23.00
2023,11,8,9,45,51.00,23.00
2023,11,8,9,45,53.00,23.00
2023,11,8,9,45,55.00,23.00
2023,11,8,9,45,58.00,23.00
2023,11,8,9,46,0.00,23.00
2023,11,8,9,46,2.00,23.00
2023,11,8,9,46,5.00,23.00
2023,11,8,9,46,7.00,23.00
2023,11,8,9,46,11.00,23.00
2023,11,8,9,46,12.00,23.00
2023,11,8,9,46,14.00,23.00
2023,11,8,9,46,16.00,23.00
2023,11,8,9,46,18.00,23.00
2023,11,8,9,46,20.00,23.00
2023,11,8,9,46,23.00,23.00
2023,11,8,9,46,25.00,23.00
2023,11,8,9,46,27.00,22.00
2023,11,8,9,46,29.00,23.00
2023,11,8,9,46,32.00,23.00
2023,11,8,9,46,34.00,23.00
2023,11,8,9,46,36.00,23.00
2023,11,8,9,46,39.00,23.00
2023,11,8,9,46,41.00,23.00
2023,11,8,9,46,43.00,23.00
2023,11,8,9,46,45.00,23.00
2023,11,8,9,46,48.00,23.00
2023,11,8,9,46,50.00,23.00
2023,11,8,9,46,52.00,23.00
2023,11,8,9,46,54.00,23.00
2023,11,8,9,46,57.00,23.00
2023,11,8,9,46,59.00,23.00
2023,11,8,9,47,1.00,23.00
2023,11,8,9,47,3.00,23.00
2023,11,8,9,47,6.00,23.00
2023,11,8,9,47,8.00,23.00
2023,11,8,9,47,10.00,23.00
2023,11,8,9,47,13.00,22.00
2023,11,8,9,47,15.00,23.00
2023,11,8,9,47,17.00,23.00
2023,11,8,9,47,19.00,23.00
2023,11,8,9,47,22.00,23.00
2023,11,8,9,47,24.00,23.00
2023,11,8,9,47,26.00,23.00
2023,11,8,9,47,28.00,23.00
2023,11,8,9,47,31.00,23.00
2023,11,8,9,47,33.00,23.00
2023,11,8,9,47,35.00,23.00
2023,11,8,9,47,38.00,23.00
2023,11,8,9,47,40.00,23.00
2023,11,8,9,47,42.00,23.00
2023,11,8,9,47,44.00,23.00
2023,11,8,9,47,47.00,23.00
2023,11,8,9,47,49.00,23.00
2023,11,8,9,47,51.00,23.00
2023,11,8,9,47,53.00,23.00
2023,11,8,9,47,56.00,23.00
2023,11,8,9,47,58.00,23.00
2023,11,8,9,48,0.00,23.00
2023,11,8,9,48,3.00,23.00
2023,11,8,9,48,5.00,23.00
2023,11,8,9,48,7.00,23.00
2023,11,8,9,48,9.00,23.00
2023,11,8,9,48,12.00,23.00
2023,11,8,9,48,14.00,23.00
2023,11,8,9,48,16.00,23.00
2023,11,8,9,48,18.00,23.00
2023,11,8,9,48,21.00,23.00
2023,11,8,9,48,23.00,23.00
2023,11,8,9,48,25.00,23.00
2023,11,8,9,48,27.00,23.00
2023,11,8,9,48,30.00,23.00
2023,11,8,9,48,32.00,23.00
2023,11,8,9,48,34.00,23.00
2023,11,8,9,48,37.00,23.00
2023,11,8,9,48,39.00,23.00
2023,11,8,9,48,41.00,23.00
2023,11,8,9,48,43.00,23.00
